Group,pre_holistic_n,pre_holistic_mean,pre_holistic_sd,pre_holistic_min,pre_holistic_max,post_holistic_n,post_holistic_mean,post_holistic_sd,post_holistic_min,post_holistic_max,pre_grammar_n,pre_grammar_mean,pre_grammar_sd,pre_grammar_min,pre_grammar_max,post_grammar_n,post_grammar_mean,post_grammar_sd,post_grammar_min,post_grammar_max,pre_vocabulary_n,pre_vocabulary_mean,pre_vocabulary_sd,pre_vocabulary_min,pre_vocabulary_max,post_vocabulary_n,post_vocabulary_mean,post_vocabulary_sd,post_vocabulary_min,post_vocabulary_max,pre_mechanics_n,pre_mechanics_mean,pre_mechanics_sd,pre_mechanics_min,pre_mechanics_max,post_mechanics_n,post_mechanics_mean,post_mechanics_sd,post_mechanics_min,post_mechanics_max,grammar_reduction_n,grammar_reduction_mean,grammar_reduction_sd,grammar_reduction_min,grammar_reduction_max,vocabulary_reduction_n,vocabulary_reduction_mean,vocabulary_reduction_sd,vocabulary_reduction_min,vocabulary_reduction_max,mechanics_reduction_n,mechanics_reduction_mean,mechanics_reduction_sd,mechanics_reduction_min,mechanics_reduction_max
Control,34,4.676470588235294,3.9598024762131616,1,14,34,6.485294117647059,4.399526996128256,1,16,34,10.470588235294118,3.0074180420848378,3,15,34,9.088235294117647,3.62121398578402,2,15,34,4.147058823529412,1.6354473568540806,1,7,34,3.2941176470588234,1.8509524454822497,0,8,34,18.229411764705883,4.029627354134713,8.8,24,34,15,4.7161874689651855,7,25,34,1.3823529411764706,3.1815253239302166,-7,10,34,0.8529411764705882,1.4591893337008919,-2,3,34,3.2294117647058824,3.66412000363928,-9,10
Experimental,34,4.882352941176471,3.9524806624206614,1,14,34,8.588235294117647,4.307271139623292,2,17,34,10.117647058823529,3.002672606320686,3,18,34,4.411764705882353,2.8616338526435148,1,9,34,2.8823529411764706,1.094468346991746,1,5,34,1.0294117647058822,1.5856419045781955,0,6,34,14.529411764705882,3.6284673625471013,9,23,34,8.205882352941176,3.319176712129954,2,14,34,5.705882352941177,2.668893900552515,1,10,34,1.8529411764705883,1.2584828032722208,-1,4,34,6.323529411764706,3.0423335166252667,-2,13
