Category,control_normality_p,experimental_normality_p,both_groups_normal,statistic,levene_p,equal_variances
Grammar,0.36864411249292056,0.02914519083510216,FALSE,0.04103343465045528,0.8400965537082512,TRUE
Vocabulary,4.9103908935281174e-5,0.028083261501130472,FALSE,0.6299045599151654,0.4302345749672142,TRUE
Mechanics,0.01135656678349072,0.5231575669054772,FALSE,0.3465158561943137,0.5581013637643051,TRUE
