Subcategory,control_normality_p,experimental_normality_p,both_groups_normal,statistic,levene_p,equal_variances
Spelling,1.0685650112921905e-4,0.008431609674533873,FALSE,0.1660296852361045,0.6849833765373987,TRUE
Punctuation,0.022224104158750757,0.013108617415725238,FALSE,4.485888993414871,0.037946002462499094,FALSE
Capitalization,0.007360157743617192,0.009270992673895353,FALSE,3.877697841726628,0.05313215543614062,TRUE
Tense,7.834500209395762e-4,0.0040518411908992465,FALSE,0.129666011787822,0.7199283622454136,TRUE
Agreement,0.002161328673428554,9.707297434434403e-4,FALSE,0.6988235294117683,0.40619560085244655,TRUE
Article/Pronoun/Preposition,0.031989164351501294,0.0056107266154250875,FALSE,7.050872093023247,0.009921370534439668,FALSE
Vocabulary,4.9103908935281174e-5,0.028083261501130472,FALSE,0.6299045599151654,0.4302345749672142,TRUE
