Subcategory,test_used,statistic_name,statistic,df,p_value,mean_control,mean_experimental,mean_difference,effect_size_measure,effect_size
Spelling,Mann-Whitney U test,U,-359.5,NA,1.4745817011142093e-5,1.3470588235294119,2.9411764705882355,1.5941176470588236,Cohen's d,1.0069063114323045
Punctuation,Mann-Whitney U test,U,-185.5,NA,0.03361891606342466,1.0588235294117647,1.911764705882353,0.8529411764705883,Cohen's d,0.5802356586988044
Capitalization,Mann-Whitney U test,U,-157.5,NA,0.07460428695230373,0.8235294117647058,1.4705882352941178,0.6470588235294119,Cohen's d,0.4936131006086719
Tense,Mann-Whitney U test,U,-313.5,NA,1.9484657905782056e-4,0.20588235294117646,1.4411764705882353,1.2352941176470589,Cohen's d,1.0581885527253243
Agreement,Mann-Whitney U test,U,-303,NA,2.513167889674963e-4,0.5294117647058824,1.7058823529411764,1.176470588235294,Cohen's d,1.0101135025770263
Article/Pronoun/Preposition,Mann-Whitney U test,U,-351.5,NA,2.9819958764970787e-5,0.6470588235294118,2.5588235294117645,1.9117647058823528,Cohen's d,1.1769237729532698
Vocabulary,Mann-Whitney U test,U,-228.5,NA,0.007065775206949954,0.8529411764705882,1.8529411764705883,1,Cohen's d,0.7339251892320786
