Category,test_used,statistic_name,statistic,df,p_value,mean_control,mean_experimental,mean_difference,effect_size_measure,effect_size
Grammar,Mann-Whitney U test,U,-432,NA,3.1900863311681814e-7,1.3823529411764706,5.705882352941177,4.3235294117647065,Cohen's d,1.4723822785846772
Vocabulary,Mann-Whitney U test,U,-228.5,NA,0.007065775206949954,0.8529411764705882,1.8529411764705883,1,Cohen's d,0.7339251892320786
Mechanics,Mann-Whitney U test,U,-311,NA,2.958404612073117e-4,3.2294117647058824,6.323529411764706,3.094117647058823,Cohen's d,0.9187879216878015
