Category,Group,W,p_value,result
Grammar,Control,0.9663585379510702,0.36864411249292056,Normal
Grammar,Experimental,0.9289429686611463,0.02914519083510216,Non-normal
Vocabulary,Control,0.8143244102957996,4.9103908935281174e-5,Non-normal
Vocabulary,Experimental,0.928387228078168,0.028083261501130472,Non-normal
Mechanics,Control,0.9145346154826355,0.01135656678349072,Non-normal
Mechanics,Experimental,0.9721480400454937,0.5231575669054772,Normal
