Group,emmean,SE,df,lower.CL,upper.CL
Control,6.585965200977463,0.34507235284399806,65,5.896808123974694,7.275122277980232
Experimental,8.487564210787248,0.34507235284399834,65,7.798407133784478,9.176721287790018
