Group,Time,n,mean,sd,min,max
Control,Pre-test,34,4.676470588235294,3.9598024762131616,1,14
Control,Post-test,34,6.485294117647059,4.399526996128256,1,16
Experimental,Pre-test,34,4.882352941176471,3.9524806624206614,1,14
Experimental,Post-test,34,8.588235294117647,4.307271139623292,2,17
