Group,n_Grammar_Pre-test,n_Grammar_Post-test,n_Vocabulary_Pre-test,n_Vocabulary_Post-test,n_Mechanics_Pre-test,n_Mechanics_Post-test,mean_Grammar_Pre-test,mean_Grammar_Post-test,mean_Vocabulary_Pre-test,mean_Vocabulary_Post-test,mean_Mechanics_Pre-test,mean_Mechanics_Post-test,sd_Grammar_Pre-test,sd_Grammar_Post-test,sd_Vocabulary_Pre-test,sd_Vocabulary_Post-test,sd_Mechanics_Pre-test,sd_Mechanics_Post-test,min_Grammar_Pre-test,min_Grammar_Post-test,min_Vocabulary_Pre-test,min_Vocabulary_Post-test,min_Mechanics_Pre-test,min_Mechanics_Post-test,max_Grammar_Pre-test,max_Grammar_Post-test,max_Vocabulary_Pre-test,max_Vocabulary_Post-test,max_Mechanics_Pre-test,max_Mechanics_Post-test
Control,34,34,34,34,34,34,10.470588235294118,9.088235294117647,4.147058823529412,3.2941176470588234,18.229411764705883,15,3.0074180420848378,3.62121398578402,1.6354473568540806,1.8509524454822497,4.029627354134713,4.7161874689651855,3,2,1,0,8.8,7,15,15,7,8,24,25
Experimental,34,34,34,34,34,34,10.117647058823529,4.411764705882353,2.8823529411764706,1.0294117647058822,14.529411764705882,8.205882352941176,3.002672606320686,2.8616338526435148,1.094468346991746,1.5856419045781955,3.6284673625471013,3.319176712129954,3,1,1,0,9,2,18,9,5,6,23,14
