Group,Category,n,mean,sd,min,max
Control,Grammar,34,1.3823529411764706,3.1815253239302166,-7,10
Control,Vocabulary,34,0.8529411764705882,1.4591893337008919,-2,3
Control,Mechanics,34,3.2294117647058824,3.66412000363928,-9,10
Experimental,Grammar,34,5.705882352941177,2.668893900552515,1,10
Experimental,Vocabulary,34,1.8529411764705883,1.2584828032722208,-1,4
Experimental,Mechanics,34,6.323529411764706,3.0423335166252667,-2,13
